manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
146983,Sayonara Eri,"1,000,000.00","Goodbye, Eri",さよなら絵梨,ONE_SHOT,72038,85,4/11/22,4/11/22,FINISHED,1,1,"https://en.wikipedia.org/wiki/Goodbye,_Eri"
100994,Jigokuraku,"1,000,000.00",Hell’s Paradise: Jigokuraku,地獄楽,MANGA,88903,81,1/23/18,1/25/21,FINISHED,127,13,https://en.wikipedia.org/wiki/Hell%27s_Paradise:_Jigokuraku
98610,86: Eighty Six,"1,800,000",86―EIGHTY-SIX,86―エイティシックス―,NOVEL,19200,88,2/10/17,,RELEASING,0,0,https://en.wikipedia.org/wiki/86_(novel_series)
87395,Grand Blue,"10,000,000",Grand Blue Dreaming,ぐらんぶる,MANGA,62503,88,4/7/14,,RELEASING,0,0,https://en.wikipedia.org/wiki/Grand_Blue_Dreaming
30007,Hajime no Ippo,"100,000,000",Hajime no Ippo: Fighting Spirit!,はじめの一歩,MANGA,32059,87,9/27/89,,RELEASING,0,0,https://en.wikipedia.org/wiki/Hajime_no_Ippo
101517,Jujutsu Kaisen,"100,000,000.00",Jujutsu Kaisen,呪術廻戦,MANGA,226747,80,3/5/18,9/30/24,FINISHED,272,30,https://en.wikipedia.org/wiki/Jujutsu_Kaisen
85486,Boku no Hero Academia,"100,000,000.00",My Hero Academia,僕のヒーローアカデミア,MANGA,168725,77,7/7/14,8/5/24,FINISHED,432,42,https://en.wikipedia.org/wiki/My_Hero_Academia
110802,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Jishou Tosho Iin,"11,000,000",Ascendance of a Bookworm: Part 4,本好きの下剋上~司書になるためには手段を選んでいられません~第四部「貴族院の自称図書委員」,NOVEL,1980,87,12/9/17,12/10/19,FINISHED,209,9,https://en.wikipedia.org/wiki/Ascendance_of_a_Bookworm
113869,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 5-bu - Megami no Keshin,"11,000,000",Ascendance of a Bookworm: Part 5,本好きの下剋上～司書になるためには手段を選んでいられません～第五部「女神の化身」,NOVEL,1881,88,3/10/20,12/9/23,FINISHED,256,12,https://en.wikipedia.org/wiki/Ascendance_of_a_Bookworm
46765,Kingdom,"120,000,000",Kingdom,キングダム,MANGA,68191,89,1/26/06,,RELEASING,0,0,
33009,JoJo no Kimyou na Bouken: Stone Ocean,"120,000,000.00",JoJo's Bizarre Adventure Part 6: Stone Ocean,ジョジョの奇妙な冒険 ストーンオーシャン,MANGA,68539,82,12/7/99,2/26/03,FINISHED,158,17,https://en.wikipedia.org/wiki/JoJo%27s_Bizarre_Adventure:_Stone_Ocean
30001,MONSTER,"128,000,000",Monster,MONSTER,MANGA,96925,91,12/5/94,12/20/01,FINISHED,162,18,https://en.wikipedia.org/wiki/Monster
85737,Re:Zero kara Hajimeru Isekai Seikatsu,"13,000,000",Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,NOVEL,26232,87,1/24/14,,RELEASING,0,0,https://en.wikipedia.org/wiki/Re:Zero
30012,BLEACH,"130,000,000.00",Bleach,BLEACH,MANGA,108673,79,8/7/01,8/23/16,FINISHED,706,74,https://en.wikipedia.org/wiki/Bleach
51525,Akatsuki no Yona,"14,000,000",Yona of the Dawn,暁のヨナ,MANGA,49151,87,8/5/09,12/19/25,RELEASING,0,0,https://en.wikipedia.org/wiki/Yona_of_the_Dawn
53390,Shingeki no Kyojin,"140,000,000.00",Attack on Titan,進撃の巨人,MANGA,215014,84,9/9/09,4/9/21,FINISHED,141,34,https://en.wikipedia.org/wiki/Attack_on_Titan
101583,Sono Bisque Doll wa Koi wo Suru,"15,000,000.00",My Dress-Up Darling,その着せ替え人形は恋をする,MANGA,87570,79,1/19/18,7/4/25,FINISHED,119,15,https://en.wikipedia.org/wiki/My_Dress-Up_Darling
