manga_id,genre
30002,Action
30002,Adventure
30002,Drama
30002,Fantasy
30002,Horror
30002,Psychological
31706,Action
31706,Adventure
31706,Drama
31706,Mystery
31706,Supernatural
30656,Action
30656,Adventure
30656,Drama
30013,Action
30013,Adventure
30013,Comedy
30013,Fantasy
64053,Drama
64053,Fantasy
64053,Mystery
64053,Supernatural
30001,Drama
30001,Mystery
30001,Psychological
30001,Thriller
30642,Action
30642,Adventure
30642,Drama
30051,Comedy
30051,Drama
30051,Sports
74489,Action
74489,Drama
74489,Fantasy
74489,Mystery
74489,Psychological
74489,Sci-Fi
30025,Action
30025,Adventure
30025,Comedy
30025,Drama
30025,Fantasy
110992,Drama
110992,Horror
110992,Mystery
110992,Supernatural
30657,Drama
30657,Psychological
30657,Sports
140407,Adventure
140407,Comedy
140407,Fantasy
46765,Action
46765,Drama
65243,Comedy
65243,Drama
65243,Sports
113869,Fantasy
113869,Slice of Life
87395,Comedy
87395,Romance
87395,Slice of Life
87395,Sports
31303,Drama
31303,Slice of Life
31303,Sports
30104,Comedy
30104,Slice of Life
135129,Action
135129,Drama
135129,Psychological
98361,Drama
98361,Psychological
98361,Romance
98361,Slice of Life
98361,Supernatural
143701,Action
143701,Mystery
143701,Romance
143701,Supernatural
30028,Drama
30028,Music
30028,Romance
30028,Slice of Life
143726,Action
143726,Comedy
143726,Drama
143726,Psychological
143726,Supernatural
53751,Comedy
53751,Mystery
53751,Psychological
53751,Romance
53751,Supernatural
34632,Drama
34632,Psychological
34632,Slice of Life
98610,Action
98610,Drama
98610,Mecha
98610,Sci-Fi
30003,Drama
30003,Mystery
30003,Psychological
30003,Sci-Fi
30003,Thriller
140475,Comedy
140475,Drama
140475,Romance
30026,Action
30026,Adventure
30026,Comedy
30026,Fantasy
86635,Comedy
86635,Psychological
86635,Romance
86635,Slice of Life
86082,Adventure
86082,Comedy
86082,Drama
86082,Fantasy
85470,Adventure
85470,Drama
85470,Ecchi
85470,Fantasy
31224,Drama
31224,Slice of Life
85737,Action
85737,Adventure
85737,Drama
85737,Fantasy
85737,Psychological
85737,Romance
85737,Thriller
75143,Drama
75143,Music
75143,Romance
53900,Drama
53900,Mystery
53900,Psychological
53900,Supernatural
53900,Thriller
44893,Action
44893,Mystery
44893,Romance
44893,Supernatural
143838,Comedy
143838,Mystery
143838,Psychological
37375,Adventure
37375,Drama
37375,Psychological
37375,Sports
110802,Fantasy
110802,Slice of Life
85135,Drama
85135,Romance
