manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
30002,Berserk,"70,000,000",Berserk,ベルセルク,MANGA,221068,93,8/25/89,,RELEASING,0,0,https://en.wikipedia.org/wiki/Berserk_(manga)
30656,Vagabond,"82,000,000",Vagabond,バガボンド,MANGA,144364,92,9/3/98,,RELEASING,0,0,https://en.wikipedia.org/wiki/Vagabond_(manga)
31706,JoJo no Kimyou na Bouken: Steel Ball Run,,JoJo's Bizarre Adventure: Part 7–Steel Ball Run,ジョジョの奇妙な冒険 スティール・ボール・ラン,MANGA,93405,92,1/19/04,4/19/11,FINISHED,95,24,https://en.wikipedia.org/wiki/Steel_Ball_Run
30001,MONSTER,"128,000,000",Monster,MONSTER,MANGA,96925,91,12/5/94,12/20/01,FINISHED,162,18,https://en.wikipedia.org/wiki/Monster
30013,ONE PIECE,"6,000,000",One Piece,ONE PIECE,MANGA,210863,91,7/22/97,,RELEASING,0,0,https://en.wikipedia.org/wiki/One_Piece
64053,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,,Umineko When They Cry Episode 8: Twilight of the Golden Witch,うみねこのなく頃に散 - Episode 8: Twilight of the Golden Witch,MANGA,10274,91,1/21/12,6/22/15,FINISHED,42,9,https://en.wikipedia.org/wiki/Umineko_When_They_Cry
30051,SLAM DUNK,"185,000,000",Slam Dunk,SLAM DUNK,MANGA,67579,90,9/18/90,6/4/96,FINISHED,276,31,https://en.wikipedia.org/wiki/Slam_dunk
30642,Vinland Saga,"7,000,000",Vinland Saga,ヴィンランド・サガ,MANGA,125169,90,4/27/05,7/25/25,FINISHED,220,29,https://en.wikipedia.org/wiki/Vinland_Saga_(manga)
30025,Hagane no Renkinjutsushi,"80,000,000",Fullmetal Alchemist,鋼の錬金術師,MANGA,72924,89,7/12/01,6/11/10,FINISHED,116,27,https://en.wikipedia.org/wiki/Fullmetal_Alchemist
30657,Real,"160,000",Real,リアル,MANGA,44576,89,11/11/99,,RELEASING,0,0,
46765,Kingdom,"120,000,000",Kingdom,キングダム,MANGA,68191,89,1/26/06,,RELEASING,0,0,
65243,Haikyuu!!,"70,000,000",Haikyu!!,ハイキュー！！,MANGA,95411,89,2/20/12,7/20/20,FINISHED,404,45,https://en.wikipedia.org/wiki/Haikyu!!
74489,Houseki no Kuni,"4,000,000",Land of the Lustrous,宝石の国,MANGA,72775,89,10/25/12,4/25/24,FINISHED,108,13,https://en.wikipedia.org/wiki/Land_of_the_Lustrous
110992,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,,The House in Fata Morgana,ファタモルガーナの館 ―The house in Fata morgana― あなたの原典に至る物語,NOVEL,5516,89,8/4/14,1/14/16,FINISHED,21,5,
140407,Yeokdaegeum Yeongji Seolgyesa,,The Greatest Estate Developer,역대급 영지 설계사,MANGA,48794,89,8/5/21,,RELEASING,0,0,https://en.wikipedia.org/wiki/The_Greatest_Estate_Developer
30003,20 Seiki Shounen,"36,000,000",20th Century Boys,20世紀少年,MANGA,96329,88,9/27/99,4/24/06,FINISHED,249,22,https://en.wikipedia.org/wiki/20th_Century_Boys
30026,HUNTER×HUNTER,"84,000,000",Hunter x Hunter,HUNTER×HUNTER,MANGA,98232,88,3/3/98,,RELEASING,0,0,https://en.wikipedia.org/wiki/Hunter_%C3%97_Hunter
30028,NANA,"50,000,000",Nana,NANA,MANGA,51460,88,5/15/00,,RELEASING,0,0,
30104,Yotsuba to!,"450,000",Yotsuba&!,よつばと！,MANGA,58331,88,3/21/03,,RELEASING,0,0,https://en.wikipedia.org/wiki/Yotsuba%26!
31224,3-gatsu no Lion,"3,000,000",March Comes in Like a Lion,3月のライオン,MANGA,31558,88,7/13/07,,RELEASING,0,0,https://en.wikipedia.org/wiki/March_Comes_In_like_a_Lion
