manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
105778,Chainsaw Man,Chainsaw Man,チェンソーマン,MANGA,298727,85,2018-12-03,,RELEASING,0.0,0.0
105398,Na Honjaman Level Up,Solo Leveling,나 혼자만 레벨업,MANGA,260393,84,2018-03-04,2023-05-31,FINISHED,201.0,15.0
101517,Jujutsu Kaisen,Jujutsu Kaisen,呪術廻戦,MANGA,226747,80,2018-03-05,2024-09-30,FINISHED,272.0,30.0
30002,Berserk,Berserk,ベルセルク,MANGA,221068,93,1989-08-25,,RELEASING,0.0,0.0
53390,Shingeki no Kyojin,Attack on Titan,進撃の巨人,MANGA,215014,84,2009-09-09,2021-04-09,FINISHED,141.0,34.0
30013,ONE PIECE,One Piece,ONE PIECE,MANGA,210863,91,1997-07-22,,RELEASING,0.0,0.0
87216,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,MANGA,195328,79,2016-02-15,2020-05-18,FINISHED,207.0,23.0
63327,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,MANGA,176635,84,2011-09-22,2014-09-18,FINISHED,144.0,14.0
85486,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,MANGA,168725,77,2014-07-07,2024-08-05,FINISHED,432.0,42.0
34632,Oyasumi Punpun,Goodnight Punpun,おやすみプンプン,MANGA,167898,88,2007-03-15,2013-11-02,FINISHED,147.0,13.0
74347,One Punch-Man,One-Punch Man,ワンパンマン,MANGA,160360,85,2012-06-14,,RELEASING,0.0,0.0
108556,SPY×FAMILY,SPY x FAMILY,SPY×FAMILY,MANGA,148951,83,2019-03-25,,RELEASING,0.0,0.0
30656,Vagabond,Vagabond,バガボンド,MANGA,144364,92,1998-09-03,,RELEASING,0.0,0.0
87423,Yakusoku no Neverland,The Promised Neverland,約束のネバーランド,MANGA,125618,79,2016-08-01,2020-06-15,FINISHED,181.0,20.0
30642,Vinland Saga,Vinland Saga,ヴィンランド・サガ,MANGA,125169,90,2005-04-27,2025-07-25,FINISHED,220.0,29.0
72451,Horimiya,Horimiya,ホリミヤ,MANGA,114996,82,2011-10-18,2023-07-18,FINISHED,152.0,17.0
119257,Jeonjijeok Dokja Sijeom,Omniscient Reader,전지적 독자 시점,MANGA,113625,86,2020-05-26,,RELEASING,0.0,0.0
86635,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,MANGA,110511,88,2015-05-19,2022-11-02,FINISHED,281.0,28.0
106130,Blue Lock,Blue Lock,ブルーロック,MANGA,110330,82,2018-08-01,,RELEASING,0.0,0.0
30012,BLEACH,Bleach,BLEACH,MANGA,108673,79,2001-08-07,2016-08-23,FINISHED,706.0,74.0
132029,Dandadan,Dandadan,ダンダダン,MANGA,102718,83,2021-04-06,,RELEASING,0.0,0.0
97852,"Komi-san wa, Komyushou desu.",Komi Can't Communicate,古見さんは、コミュ症です。,MANGA,100852,77,2016-05-18,2025-01-29,FINISHED,537.0,37.0
86123,Black Clover,Black Clover,ブラッククローバー,MANGA,98369,77,2015-02-16,,RELEASING,0.0,0.0
30026,HUNTER×HUNTER,Hunter x Hunter,HUNTER×HUNTER,MANGA,98232,88,1998-03-03,,RELEASING,0.0,0.0
117195,[Oshi no Ko],[Oshi no Ko],【推しの子】,MANGA,97591,78,2020-04-23,2024-11-14,FINISHED,168.0,16.0
30001,MONSTER,Monster,MONSTER,MANGA,96925,91,1994-12-05,2001-12-20,FINISHED,162.0,18.0
30003,20 Seiki Shounen,20th Century Boys,20世紀少年,MANGA,96329,88,1999-09-27,2006-04-24,FINISHED,249.0,22.0
65243,Haikyuu!!,Haikyu!!,ハイキュー！！,MANGA,95411,89,2012-02-20,2020-07-20,FINISHED,404.0,45.0
85611,Tokyo Ghoul:re,Tokyo Ghoul:re,東京喰種-トーキョーグール-:re,MANGA,93634,83,2014-10-16,2018-07-05,FINISHED,181.0,16.0
