manga_id,staff_name,occupation
30002,Kentarou Miura,Mangaka
30002,Kouji Mori,Mangaka
30002,Studio Gaga,Not Recorded
30002,Marc Bernabé,Translator
30002,Paweł Dybała,Translator
30002,Drik Sada,Translator
30002,Duane Johnson,Translator
30002,Jason DeAngelis,Translator
30002,Jason DeAngelis,Writer
30002,David Deleule,Translator
30002,René-Gilles Deberdt,Translator
30002,Dan Nakrosis,Letterer
30002,John Schmitt-Weigand,Translator
30002,Diego Rodeguero,Not Recorded
30002,Alp İlkkurşun,Translator
30002,Gönül Öztopuz,Translator
30002,Diógenes Dih,Editor
30002,Diógenes Dih,Letterer
30002,Ricardo Santana,Letterer 
31706,Yasuki Tanaka,Mangaka
31706,Hirohiko Araki,Mangaka
31706,Hiroshi Shiibashi,Mangaka
31706,Hideo Shinkai,Mangaka
31706,Kousuke Kurose,Mangaka
31706,Yoshihisa Heishi,Producer
31706,Ryou Itou,Producer
31706,Karen Hayashida,Translator
31706,Beatriz Poszar,Not Recorded
30656,Takehiko Inoue,Mangaka
30656,Eiji Yoshikawa,Not Recorded
30656,Yasuhisa Hara,Mangaka
30656,Katsumi Tatsuzawa,Mangaka
30656,Steve Dutro,Not Recorded
30656,Yuji Oniki,Translator
30656,Beth Kodama,Translator
30656,Beth Kodama,Illustrator
30656,Beth Kodama,Writer
30656,Dirce Miyamura,Not Recorded
30656,Miriam Tomi,Not Recorded
30656,Agustín Gomez Sanz,Translator
30656,Jacques Lalloz,Translator
30656,Gustavo Figueiredo,Letterer
30656,Bruno Zago,Editor
30656,Cassius Medaur,Editor
30656,Cassius Medaur,Translator
30656,Marcelo Del Greco,Editor
30656,Marcelo Del Greco,Translator
30013,Eiichirou Oda,Mangaka
30013,Tatsuma Eijiri,Mangaka
30013,Shinya Suzuki,Mangaka
30013,Mikio Itou,Mangaka
30013,Katsunori Matsui,Mangaka
30013,Yuusaku Shibata,Mangaka
30013,Haruto Ikezawa,Mangaka
30013,Ryou Ishiyama,Mangaka
30013,Tsunehiro Date,Mangaka
30013,Takamasa Moue,Mangaka
30013,Masaoki Shindou,Mangaka
30013,Ei Andou,Not Recorded
30013,Yoshikazu Amami,Mangaka
30013,Midori Matsuda,Animator
30013,Daiki Ihara,Mangaka
30013,Kouhei Oonishi,Producer
30013,Naoki Kawashima,Not Recorded
30013,Taku Sugita,Not Recorded
30013,Susan Daigle-Leach,Not Recorded
30013,Terje Nordberg,Not Recorded
30013,Stephen Paul,Translator
30013,Paweł Dybała,Translator
30013,Drik Sada,Translator
30013,Felipe Monte,Translator
30013,Josef Shanel,Translator
64053,Kei Natsumi,Illustrator
64053,Kei Natsumi,Mangaka
64053,Kei Natsumi,Artist
64053,Ryukishi07,Writer
64053,Stephen Paul,Translator
64053,Abigail Blackman,Letterer
30001,Naoki Urasawa,Mangaka
30001,Yasushi Hoshino,Mangaka
30001,Marc Bernabé,Translator
30001,Thibaud Desbief,Translator
30001,Camellia Nieh,Translator
30001,Steve Dutro,Not Recorded
30001,Dirce Miyamura,Not Recorded
30001,Verónica Calafell,Translator
30001,Les Travaux d'Hercule,Not Recorded
30001,Anne Bidault,Not Recorded
30642,Makoto Yukimura,Mangaka
30642,Scott Brown,Letterer
30642,Marc Bernabé,Translator
30642,Stephen Paul,Translator
30642,Christian Biscaro,Letterer
30642,Xavière Daumarie,Translator
30642,Edoardo Serino,Not Recorded
30642,Beatriz Poszar,Not Recorded
30642,Lídia Ivasa,Translator
30642,Beth Kodama,Translator
30642,Beth Kodama,Illustrator
30642,Beth Kodama,Writer
30642,Hirofumi Yamada,Translator
30642,Yifeng Zhang,Translator
30642,Bruno Zago,Editor
30642,Diógenes Dih,Editor
30642,Diógenes Dih,Letterer
30642,Camila Cysneiros,Editor
30051,Takehiko Inoue,Mangaka
30051,Katsumi Tatsuzawa,Mangaka
30051,Drik Sada,Translator
30051,Beth Kodama,Translator
30051,Beth Kodama,Illustrator
30051,Beth Kodama,Writer
30051,Agustín Gomez Sanz,Translator
30051,Gustavo Figueiredo,Letterer
30051,Joel Dias,Letterer
30051,Phueak,Translator
30051,Diógenes Dih,Editor
30051,Diógenes Dih,Letterer
30051,Tomoyuki Shima,Editor
30051,Martin Gericke,Translator
30051,Victor Barbosa,Editor
74489,Haruko Ichikawa,Mangaka
74489,Alethea Nibley,Translator
74489,Athena Nibley,Translator
74489,Anne-Sophie Thevenon,Translator
74489,Anne Demars,Letterer
74489,Cát Tường,Translator
74489,Yasuko Tojo,Translator
74489,Thomas Lameth,Not Recorded
30025,Hiromu Arakawa,Mangaka
30025,Kyu Aiya,Not Recorded
30025,Hikaru Miyoshi,Mangaka
30025,Jun Tokou,Not Recorded
30025,Manatsu Suzuki,Mangaka
30025,Sankichi Hinodeya,Mangaka
30025,Masanari Yuzuka,Mangaka
30025,Asashi Mizutani,Not Recorded
30025,Keisui Takaeda,Not Recorded
30025,Annette Nordheim,Translator
30025,Steve Dutro,Not Recorded
30025,Paweł Dybała,Translator
30025,Karen Hayashida,Translator
30025,Luiz Kobayashi,Translator
30025,Hope Donovan,Letterer
30025,Thiago Nojiri,Translator
30025,Wayne Truman,Not Recorded
30025,Simon Hammar,Translator
30025,Giang Huong,Translator
30025,Akira Watanabe,Translator
30025,Yuren Fang,Translator
30025,Cassius Medaur,Editor
30025,Cassius Medaur,Translator
30025,Marcelo Del Greco,Editor
30025,Marcelo Del Greco,Translator
110992,Keika Hanada,Writer
110992,Moyataro,Illustrator
30657,Takehiko Inoue,Mangaka
30657,Yuuichi Itakura,Not Recorded
30657,Yasuhisa Hara,Mangaka
30657,Katsumi Tatsuzawa,Mangaka
30657,Thibaud Desbief,Translator
30657,Sandra Fujishiro,Translator
30657,Walden Wong,Not Recorded
140407,Hyeon-Min Lee,Mangaka
140407,Baek-Gyeong Mun,Writer
140407,Hyeon-Su Kim,Artist
46765,Yasuhisa Hara,Mangaka
46765,Sui Ishida,Mangaka
46765,Toshimitsu Matsubara,Mangaka
46765,Tooru Hakoishi,Mangaka
46765,Kasahara Masaki,Mangaka
46765,Kouhei Tajika,Not Recorded
46765,Rina Mapa,Letterer
46765,Stephen Paul,Translator
46765,Nathan Collins,Not Recorded
46765,Phúc Trần,Translator
46765,Quế Nguyệt,Translator
46765,Rae First,Editor
46765,Natsuo Shouji,Writer
46765,Natsume Umemoto,Mangaka
65243,Haruichi Furudate,Mangaka
65243,Atsushi Namikiri,Mangaka
65243,Tasuku Sugie,Mangaka
65243,Tasuku Sugie,Illustrator
65243,Yumiya  Tashiro,Not Recorded
65243,Ryouta Ikeda,Producer
65243,Adrienne Beck,Translator
65243,Christian Biscaro,Letterer
65243,Edoardo Serino,Not Recorded
65243,Erika Terriquez,Letterer
65243,Sandra Nogués Graell,Translator
65243,Renata Leitão,Translator
65243,Ruyuha Kyouka,Translator
65243,Rae First,Editor
65243,Etsuko Tabuchi,Translator
