id,title_romaji,title_english,average_score,genres,start_year,status,chapters,volumes,staff_names
30002,Berserk,Berserk,93,"Action, Adventure, Drama, Fantasy, Horror, Psychological",1989,RELEASING,,,"Kentarou Miura, Kouji Mori, Studio Gaga, Marc Bernabé, Paweł Dybała, Drik Sada, Duane Johnson, Jason DeAngelis, David Deleule, René-Gilles Deberdt, Dan Nakrosis, John Schmitt-Weigand, Diego Rodeguero, Alp İlkkurşun, Gönül Öztopuz, Diógenes Dih, Ricardo Santana"
31706,JoJo no Kimyou na Bouken: Steel Ball Run,JoJo's Bizarre Adventure: Part 7–Steel Ball Run,92,"Action, Adventure, Drama, Mystery, Supernatural",2004,FINISHED,95.0,24.0,"Yasuki Tanaka, Hirohiko Araki, Hiroshi Shiibashi, Hideo Shinkai, Kousuke Kurose, Yoshihisa Heishi, Ryou Itou, Karen Hayashida, Beatriz Poszar"
30656,Vagabond,Vagabond,92,"Action, Adventure, Drama",1998,RELEASING,,,"Takehiko Inoue, Eiji Yoshikawa, Yasuhisa Hara, Katsumi Tatsuzawa, Steve Dutro, Yuji Oniki, Beth Kodama, Dirce Miyamura, Miriam Tomi, Agustín Gomez Sanz, Jacques Lalloz, Gustavo Figueiredo, Bruno Zago, Cassius Medaur, Marcelo Del Greco"
30013,ONE PIECE,One Piece,91,"Action, Adventure, Comedy, Fantasy",1997,RELEASING,,,"Eiichirou Oda, Tatsuma Eijiri, Shinya Suzuki, Mikio Itou, Katsunori Matsui, Yuusaku Shibata, Haruto Ikezawa, Ryou Ishiyama, Tsunehiro Date, Takamasa Moue, Masaoki Shindou, Ei Andou, Yoshikazu Amami, Midori Matsuda, Daiki Ihara, Kouhei Oonishi, Naoki Kawashima, Taku Sugita, Susan Daigle-Leach, Terje Nordberg, Stephen Paul, Paweł Dybała, Drik Sada, Felipe Monte, Josef Shanel"
64053,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,Umineko When They Cry Episode 8: Twilight of the Golden Witch,91,"Drama, Fantasy, Mystery, Supernatural",2012,FINISHED,42.0,9.0,"Kei Natsumi, Ryukishi07, Stephen Paul, Abigail Blackman"
30001,MONSTER,Monster,91,"Drama, Mystery, Psychological, Thriller",1994,FINISHED,162.0,18.0,"Naoki Urasawa, Yasushi Hoshino, Marc Bernabé, Thibaud Desbief, Camellia Nieh, Steve Dutro, Dirce Miyamura, Verónica Calafell, Les Travaux d'Hercule, Anne Bidault"
30642,Vinland Saga,Vinland Saga,90,"Action, Adventure, Drama",2005,FINISHED,220.0,29.0,"Makoto Yukimura, Scott Brown, Marc Bernabé, Stephen Paul, Christian Biscaro, Xavière Daumarie, Edoardo Serino, Beatriz Poszar, Lídia Ivasa, Beth Kodama, Hirofumi Yamada, Yifeng Zhang, Bruno Zago, Diógenes Dih, Camila Cysneiros"
30051,SLAM DUNK,Slam Dunk,90,"Comedy, Drama, Sports",1990,FINISHED,276.0,31.0,"Takehiko Inoue, Katsumi Tatsuzawa, Drik Sada, Beth Kodama, Agustín Gomez Sanz, Gustavo Figueiredo, Joel Dias, Phueak, Diógenes Dih, Tomoyuki Shima, Martin Gericke, Victor Barbosa"
74489,Houseki no Kuni,Land of the Lustrous,89,"Action, Drama, Fantasy, Mystery, Psychological, Sci-Fi",2012,FINISHED,108.0,13.0,"Haruko Ichikawa, Alethea Nibley, Athena Nibley, Anne-Sophie Thevenon, Anne Demars, Cát Tường, Yasuko Tojo, Thomas Lameth"
30025,Hagane no Renkinjutsushi,Fullmetal Alchemist,89,"Action, Adventure, Comedy, Drama, Fantasy",2001,FINISHED,116.0,27.0,"Hiromu Arakawa, Kyu Aiya, Hikaru Miyoshi, Jun Tokou, Manatsu Suzuki, Sankichi Hinodeya, Masanari Yuzuka, Asashi Mizutani, Keisui Takaeda, Annette Nordheim, Steve Dutro, Paweł Dybała, Karen Hayashida, Luiz Kobayashi, Hope Donovan, Thiago Nojiri, Wayne Truman, Simon Hammar, Giang Huong, Akira Watanabe, Yuren Fang, Cassius Medaur, Marcelo Del Greco"
110992,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,,89,"Drama, Horror, Mystery, Supernatural",2014,FINISHED,21.0,5.0,"Keika Hanada, Moyataro"
30657,Real,Real,89,"Drama, Psychological, Sports",1999,RELEASING,,,"Takehiko Inoue, Yuuichi Itakura, Yasuhisa Hara, Katsumi Tatsuzawa, Thibaud Desbief, Sandra Fujishiro, Walden Wong"
140407,Yeokdaegeum Yeongji Seolgyesa,The Greatest Estate Developer,89,"Adventure, Comedy, Fantasy",2021,RELEASING,,,"Hyeon-Min Lee, Baek-Gyeong Mun, Hyeon-Su Kim"
46765,Kingdom,Kingdom,89,"Action, Drama",2006,RELEASING,,,"Yasuhisa Hara, Sui Ishida, Toshimitsu Matsubara, Tooru Hakoishi, Kasahara Masaki, Kouhei Tajika, Rina Mapa, Stephen Paul, Nathan Collins, Phúc Trần, Quế Nguyệt, Rae First, Natsuo Shouji, Natsume Umemoto"
113869,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 5-bu - Megami no Keshin,Ascendance of a Bookworm: Part 5,89,"Fantasy, Slice of Life",2020,FINISHED,256.0,12.0,"You Shiina, Miya Kazuki, Quof, Kieran Redgewell, Jinyu Xu, Meiru"
