manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
30001,MONSTER,Monster,MONSTER,MANGA,96925,91,1994-12-05,2001-12-20,FINISHED,162.0,18.0
30002,Berserk,Berserk,ベルセルク,MANGA,221068,93,1989-08-25,,RELEASING,0.0,0.0
30003,20 Seiki Shounen,20th Century Boys,20世紀少年,MANGA,96329,88,1999-09-27,2006-04-24,FINISHED,249.0,22.0
30004,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,ヨコハマ買い出し紀行,MANGA,33955,86,1994-04-26,2006-02-26,FINISHED,144.0,14.0
30007,Hajime no Ippo,Hajime no Ippo: Fighting Spirit!,はじめの一歩,MANGA,32059,87,1989-09-27,,RELEASING,0.0,0.0
30009,Tsubasa: RESERVoir CHRoNiCLE,Tsubasa RESERVoir CHRoNiCLE,ツバサ -RESERVoir CHRoNiCLE-,MANGA,16472,80,2003-05-21,2009-10-07,FINISHED,233.0,28.0
30010,xxxHolic,xxxHOLiC,×××ホリック,MANGA,21573,82,2003-02-24,2011-02-09,FINISHED,214.0,19.0
30011,NARUTO,Naruto,NARUTO -ナルト-,MANGA,91214,79,1999-09-21,2014-11-10,FINISHED,700.0,72.0
30012,BLEACH,Bleach,BLEACH,MANGA,108673,79,2001-08-07,2016-08-23,FINISHED,706.0,74.0
30013,ONE PIECE,One Piece,ONE PIECE,MANGA,210863,91,1997-07-22,,RELEASING,0.0,0.0
30017,Kareshi Kanojo no Jijou,Kare Kano: His and Her Circumstances,彼氏彼女の事情,MANGA,10538,78,1995-12-22,2005-02-24,FINISHED,108.0,21.0
30018,Kodomo no Omocha,Kodocha: Sana's Stage,こどものおもちゃ,MANGA,5874,80,1994-07-02,1998-10-03,FINISHED,54.0,10.0
30020,Hikaru no Go,Hikaru no Go,ヒカルの碁,MANGA,12016,79,1998-12-08,2003-07-14,FINISHED,197.0,23.0
30021,DEATH NOTE,Death Note,DEATH NOTE,MANGA,91099,84,2003-12-01,2006-05-15,FINISHED,108.0,12.0
30022,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,MANGA,24388,82,1994-04-05,1999-09-21,FINISHED,259.0,28.0
30023,Ranma 1/2,Ranma ½,らんま1/2,MANGA,13644,78,1987-08-05,1996-02-21,FINISHED,407.0,38.0
30024,D.Gray-man,D.Gray-man,ディー・グレイマン,MANGA,38786,81,2004-05-31,,RELEASING,0.0,0.0
30025,Hagane no Renkinjutsushi,Fullmetal Alchemist,鋼の錬金術師,MANGA,72924,89,2001-07-12,2010-06-11,FINISHED,116.0,27.0
30026,HUNTER×HUNTER,Hunter x Hunter,HUNTER×HUNTER,MANGA,98232,88,1998-03-03,,RELEASING,0.0,0.0
30027,X,X,X,MANGA,7881,79,1992-05-24,,RELEASING,0.0,0.0
30028,NANA,Nana,NANA,MANGA,51460,88,2000-05-15,,RELEASING,0.0,0.0
30029,Paradise Kiss,Paradise Kiss,パラダイス・キス,MANGA,20052,81,1999-03-23,2003-03-22,FINISHED,48.0,5.0
30030,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,MANGA,27234,82,2002-07-24,2010-09-24,FINISHED,97.0,18.0
30031,Lovely★Complex,Love★Com,ラブ★コン,MANGA,16411,80,2001-08-13,2007-08-13,FINISHED,72.0,17.0
30042,Dragon Ball,Dragon Ball,ドラゴンボール,MANGA,48669,83,1984-11-20,1995-05-23,FINISHED,520.0,42.0
30043,Eyeshield 21,Eyeshield 21,アイシールド21,MANGA,21016,82,2002-07-23,2009-06-15,FINISHED,333.0,37.0
30044,Gintama,Gin Tama,銀魂,MANGA,29469,86,2003-12-08,2019-06-20,FINISHED,709.0,77.0
30047,Katekyo Hitman REBORN!,Reborn!,家庭教師ヒットマンREBORN!,MANGA,25806,77,2004-05-24,2012-11-12,FINISHED,411.0,42.0
30051,SLAM DUNK,Slam Dunk,SLAM DUNK,MANGA,67579,90,1990-09-18,1996-06-04,FINISHED,276.0,31.0
30053,Yuu☆Yuu☆Hakusho,Yu Yu Hakusho,幽☆遊☆白書,MANGA,24892,80,1990-11-20,1994-07-05,FINISHED,176.0,19.0
30054,Yu☆Gi☆Oh!,Yu-Gi-Oh!,遊☆戯☆王,MANGA,13572,77,1996-09-17,2004-03-08,FINISHED,343.0,38.0
30057,Hanazakari no Kimitachi e,Hana-Kimi: For You in Full Blossom,花ざかりの君たちへ,MANGA,5606,78,1996-09-20,2004-08-20,FINISHED,148.0,23.0
30081,ARIA,Aria,ARIA,MANGA,16493,86,2002-02-28,2008-02-29,FINISHED,67.0,12.0
30085,Azumanga Daiou,Azumanga Daioh,あずまんが大王,MANGA,17209,82,1999-01-18,2002-03-21,FINISHED,69.0,4.0
30092,Bishoujo Senshi Sailor Moon,Sailor Moon,美少女戦士セーラームーン,MANGA,17070,79,1991-12-28,1997-02-03,FINISHED,61.0,18.0
30102,Fruits Basket,Fruits Basket,フルーツバスケット,MANGA,32565,84,1998-07-18,2006-11-20,FINISHED,137.0,23.0
30104,Yotsuba to!,Yotsuba&!,よつばと！,MANGA,58331,88,2003-03-21,,RELEASING,0.0,0.0
30105,Kekkaishi,Kekkaishi,結界師,MANGA,7038,77,2004-02-18,2011-04-06,FINISHED,345.0,35.0
30106,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,MANGA,17577,81,1996-05-02,2000-07-03,FINISHED,50.0,12.0
30124,AQUA,Aqua,AQUA,MANGA,8459,77,2001-01-27,2001-09-28,FINISHED,11.0,2.0
30128,Petshop of Horrors,Pet Shop of Horrors,Petshop of Horrors (ペットショップ オブ ホラーズ),MANGA,8686,78,1995-01-01,1997-01-01,FINISHED,41.0,10.0
30145,BECK,BECK,BECK,MANGA,29563,86,2000-02-17,2008-06-05,FINISHED,103.0,34.0
